Date,HomeTeam,AwayTeam,Odds,PredictedProbability,ImpliedProbability,ProbabilityDifference,Stake,Outcome,ActualResult,Bankroll
2023-12-26,Bournemouth,Fulham,1.73,0.7161981293321432,0.5780346820809249,0.13816344725121832,17.85411316576495,Win,1,1103.599305367311
2023-12-26,Sheffield United,Luton,2.1,0.8768075048403816,0.47619047619047616,0.40061702864990545,42.20242802392449,Win,1,1150.021976193628
2023-12-28,Arsenal,West Ham,1.57,0.772040014331619,0.6369426751592356,0.1350973391723833,21.396746235827575,Lose,0,1128.6252299578005
2023-12-30,Luton,Chelsea,1.65,0.8112175605961214,0.6060606060606061,0.2051569545355153,29.388443825665014,Win,1,1147.7277184444827
2023-12-30,Aston Villa,Burnley,1.57,0.7061294870834572,0.6369426751592356,0.0691868119242216,10.935961949130522,Win,1,1153.9612167554872
2023-12-31,Tottenham,Bournemouth,1.4,0.7700820231532884,0.7142857142857143,0.05579630886757414,11.267685882475895,Win,1,1158.4682911084776
2024-01-13,Newcastle,Man City,1.6,0.8115620521193392,0.625,0.18656205211933918,28.816829560584218,Win,1,1175.7583888448282
2024-01-14,Man United,Tottenham,1.48,0.7895401741059647,0.6756756756756757,0.11386449843028901,20.63939229657408,Win,1,1185.6652971471838
2024-01-20,Brentford,Nott'm Forest,1.86,0.6899654569534536,0.5376344086021505,0.15233104835130307,19.53147477542052,Win,1,1202.4623654540453
2024-01-21,Bournemouth,Liverpool,1.44,0.8342737043698346,0.6944444444444444,0.1398292599253902,27.513723706293792,Win,1,1214.5684038848146
2024-01-22,Brighton,Wolves,1.62,0.7483953507338817,0.6172839506172839,0.13111140011659783,20.804427228432715,Lose,0,1193.7639766563818
2024-01-30,Luton,Brighton,1.65,0.8790774502842265,0.6060606060606061,0.2730168442236204,41.36647396384865,Win,1,1220.6521847328834
2024-02-03,Newcastle,Luton,1.57,0.8859385189196463,0.6369426751592356,0.24899584376041062,41.8580345140893,Win,1,1244.5112644059143
2024-02-04,Chelsea,Wolves,1.7,0.6604942722418977,0.5882352941176471,0.07225897812425064,10.919720770796697,Win,1,1252.155068945472
2024-02-04,Arsenal,Liverpool,1.67,0.70287227108986,0.5988023952095809,0.10406987588027905,16.240329086223085,Win,1,1263.0360894332416
2024-02-10,Fulham,Bournemouth,1.73,0.6879570276603036,0.5780346820809249,0.10992234557937874,16.45110197522608,Win,1,1275.0453938751566
2024-02-10,Luton,Sheffield United,1.85,0.8790963746454333,0.5405405405405405,0.33855583410489287,46.976294421368216,Win,1,1314.9752441333196
2024-02-10,Nott'm Forest,Newcastle,1.7,0.6702649297945084,0.5882352941176471,0.08202963567686128,13.098128452899392,Win,1,1324.1439340503491
2024-02-11,West Ham,Arsenal,1.67,0.7469291251476275,0.5988023952095809,0.14812672993804665,24.444451883086458,Win,1,1340.521716812017
2024-02-19,Everton,Crystal Palace,2.1,0.5692785912852298,0.47619047619047616,0.09308811509475368,11.91145198679041,Lose,0,1328.6102648252267
2024-02-24,Brighton,Everton,1.65,0.7164893720028196,0.6060606060606061,0.11042876594221351,18.62174667220246,Lose,0,1309.9885181530242
2024-02-24,Crystal Palace,Burnley,2.1,0.5333939849162721,0.47619047619047616,0.05720350872579594,7.152976055481997,Win,1,1317.8567918140543
2024-02-24,Bournemouth,Man City,1.48,0.8279007542462737,0.6756756756756757,0.15222507857059808,30.927506608798154,Lose,0,1286.929285205256
2024-02-26,West Ham,Brentford,1.7,0.6829158459508847,0.5882352941176471,0.09468055183323765,14.795728379935657,Win,1,1297.286295071211
2024-03-02,Luton,Aston Villa,1.44,0.867466390667646,0.6944444444444444,0.17302194622320155,36.7296544770394,Win,1,1313.4473430411083
2024-03-04,Sheffield United,Arsenal,1.4,0.8455741214652625,0.7142857142857143,0.13128840717954815,30.177071676863417,Win,1,1325.5181717118537
2024-03-09,Bournemouth,Sheffield United,1.53,0.8008494535705953,0.6535947712418301,0.14725468232876526,28.17347157203256,Win,1,1340.450111645031
2024-03-13,Bournemouth,Luton,1.44,0.9182405649274412,0.6944444444444444,0.2237961204829968,49.08886931244402,Win,1,1362.0492141425063
2024-03-30,Newcastle,West Ham,1.5,0.8351253992438652,0.6666666666666666,0.16845873257719857,34.417362648332386,Win,1,1379.2578954666726
2024-04-02,Nott'm Forest,Fulham,1.8,0.7862708829468981,0.5555555555555556,0.23071532739134248,35.79929290233984,Win,1,1407.8973297885445
2024-04-03,Arsenal,Luton,1.25,0.8960436270956297,0.8,0.09604362709562964,33.80489153278594,Lose,0,1374.0924382557587
2024-04-06,Luton,Bournemouth,1.5,0.9202658118144001,0.6666666666666666,0.2535991451477335,52.27030015434377,Win,1,1400.2275883329305
2024-04-13,Newcastle,Tottenham,1.36,0.8695810493523939,0.7352941176470588,0.13428693170533512,35.51720589942927,Win,1,1413.013782456725
2024-04-13,Man City,Luton,1.29,0.8934104965366172,0.7751937984496123,0.11821669808700486,37.15240561902891,Win,1,1423.7879800862434
2024-04-20,Luton,Brentford,1.57,0.9281332377488584,0.6369426751592356,0.2911905625896227,57.09754280697891,Win,1,1456.3335794862214
2024-04-21,Crystal Palace,West Ham,1.8,0.819183686335137,0.5555555555555556,0.26362813077958147,43.192181177042585,Win,1,1490.8873244278554
2024-04-24,Man United,Sheffield United,1.36,0.8497631109382832,0.7352941176470588,0.1144689932912244,32.23584788160402,Win,1,1502.4922296652328
2024-04-27,Newcastle,Sheffield United,1.33,0.8323392508211811,0.7518796992481203,0.08045955157306084,24.361136649145607,Win,1,1510.5314047594509
2024-05-04,Sheffield United,Nott'm Forest,1.57,0.7170127733475604,0.6369426751592356,0.08007009818832478,16.65692848211848,Win,1,1520.0258539942583
2024-05-19,Brentford,Newcastle,1.36,0.7917726058088587,0.7352941176470588,0.0564784881617999,16.215877304528405,Win,1,1525.8635698238886
2024-08-17,Everton,Brighton,1.8,0.7416708022651187,0.5555555555555556,0.18611524670956314,31.94847840857713,Win,1,1551.4223525507502
2024-08-19,Leicester,Tottenham,1.53,0.8871485683013708,0.6535947712418301,0.2335537970595407,52.30010276984414,Lose,0,1499.122249780906
2024-08-24,Crystal Palace,West Ham,1.73,0.8327738531997602,0.5780346820809249,0.25473917111883526,45.25077572705038,Lose,0,1453.8714740538558
2024-08-24,Fulham,Leicester,1.89,0.6703477403084394,0.5291005291005292,0.14124721120791017,21.80457866862635,Win,1,1473.2775490689332
2024-08-24,Man City,Ipswich,1.3,0.9360829416574153,0.7692307692307692,0.16685217242664618,53.26090459073719,Win,1,1489.2558204461543
2024-08-31,Brentford,Southampton,1.73,0.6912453651155832,0.5780346820809249,0.11321068303465831,19.97790594230588,Win,1,1503.8396917840375
2024-08-31,Everton,Bournemouth,1.92,0.6035307172628376,0.5208333333333334,0.08269738392950421,12.977072176684366,Win,1,1515.7785981865873
2024-09-01,Newcastle,Tottenham,1.36,0.8648900872219684,0.7352941176470588,0.1295959695749096,37.10510611754552,Win,1,1529.1364363889036
2024-09-21,Liverpool,Bournemouth,1.36,0.8317829408023493,0.7352941176470588,0.0964888231552905,27.869530869418668,Win,1,1539.1694675018944
