Date,Season,HomeTeam,AwayTeam,Over2.5,ModelProbabilityOver2.5,ImpliedProbability,ProbabilityDifference,ExpectedValue,B365>2.5
2020-12-27,2020_21,West Ham,Brighton,1,0.6423996150335807,0.5025125628140703,0.13988705221951037,0.2783752339168255,1.99
2020-12-28,2020_21,Chelsea,Aston Villa,0,0.758992759783738,0.6535947712418301,0.10539798854190796,0.16125892246911921,1.53
2020-12-29,2020_21,West Brom,Leeds,1,0.826618439733947,0.6369426751592356,0.18967576457471136,0.29779095038229686,1.57
2020-12-29,2020_21,Burnley,Sheffield United,0,0.6427030402696992,0.42194092827004215,0.220762111999657,0.523206205439187,2.37
2021-01-01,2020_21,Man United,Aston Villa,1,0.8117242790210771,0.6535947712418301,0.15812950777924706,0.24193814690224813,1.53
2021-01-02,2020_21,Tottenham,Leeds,1,0.9186745084122058,0.6944444444444444,0.22423006396776135,0.32289129211357626,1.44
2021-01-02,2020_21,Brighton,Wolves,1,0.6880610980718921,0.4,0.28806109807189206,0.7201527451797303,2.5
2021-01-02,2020_21,West Brom,Arsenal,1,0.7207530339619829,0.5263157894736842,0.1944372444882987,0.36943076452776746,1.9
2021-01-03,2020_21,Newcastle,Leicester,1,0.738379216316634,0.5263157894736842,0.21206342684294976,0.40292051100160453,1.9
2021-01-03,2020_21,Chelsea,Man City,1,0.7460373732518218,0.5813953488372093,0.1646420244146125,0.2831842819931336,1.72
2021-01-04,2020_21,Southampton,Liverpool,0,0.832099566120576,0.6211180124223602,0.2109815536982158,0.3396803014541274,1.61
2021-01-12,2020_21,Sheffield United,Newcastle,0,0.6638723087786763,0.4,0.2638723087786763,0.6596807719466908,2.5
2021-01-12,2020_21,Wolves,Everton,1,0.5090386927998181,0.42194092827004215,0.08709776452977591,0.20642170193556875,2.37
2021-01-13,2020_21,Man City,Brighton,0,0.8652256478715624,0.6666666666666666,0.1985589812048958,0.2978384718073437,1.5
2021-01-16,2020_21,Leicester,Southampton,0,0.6429115817659522,0.5263157894736842,0.11659579229226802,0.22153200535530915,1.9
2021-01-16,2020_21,Wolves,West Brom,1,0.726477847445243,0.4347826086956522,0.2916952387495908,0.6708990491240587,2.3
2021-01-17,2020_21,Man City,Crystal Palace,1,0.8729686867296237,0.6666666666666666,0.20630202006295706,0.3094530300944356,1.5
2021-01-17,2020_21,Sheffield United,Tottenham,1,0.6738607444097793,0.5,0.17386074440977928,0.34772148881955856,2.0
