Date,Bankroll,Outcome,Stake,CumulativeProfit
2021-01-26,1072.1820404265516,Win,33.78252908249429,72.18204042655157
2021-01-27,1103.215834613021,Win,47.02090028252938,103.21583461302089
2021-01-27,1080.267115837906,Lose,22.94871877511483,80.26711583790598
2021-01-27,1111.0513049987194,Win,34.204654623125975,111.05130499871939
2021-01-28,1147.0556151133992,Win,45.00538764334971,147.0556151133992
2021-01-30,1141.9069925236888,Lose,5.148622589710444,141.9069925236888
2021-01-30,1135.5975460809923,Lose,6.309446442696498,135.5975460809923
2021-01-30,1112.9960433827248,Lose,22.601502698267574,112.99604338272479
2021-01-31,1125.8391343121586,Win,19.459228680960383,125.83913431215865
2021-01-31,1096.3161626452238,Lose,29.52297166693473,96.31616264522381
2021-02-02,1109.1617244931895,Win,24.236909147105223,109.16172449318947
2021-02-02,1116.500524099377,Win,5.645230466298022,116.50052409937689
2021-02-03,1129.5033693165717,Win,18.059507246103934,129.5033693165717
2021-02-03,1105.0362089845526,Lose,24.467160332019084,105.03620898455256
2021-02-03,1083.7029272503185,Lose,21.333281734234124,83.70292725031845
2021-02-03,1066.4927794979913,Lose,17.210147752327288,66.49277949799125
2021-02-06,1075.0168488150402,Win,8.524069317048887,75.01684881504025
2021-02-06,1096.3287413397056,Win,32.29074624949313,96.32874133970563
2021-02-06,1086.9186246999004,Lose,9.410116639805294,86.91862469990042
2021-02-07,1109.0197454191955,Win,24.556800799216713,109.01974541919549
2021-02-07,1117.5104505418287,Win,11.79264600365731,117.51045054182873
2021-02-13,1143.496480415844,Win,42.600048973795474,143.49648041584396
2021-02-13,1173.518284063185,Win,20.014535764894074,173.5182840631851
2021-02-14,1188.454173790717,Win,26.203315311459463,188.45417379071705
2021-02-15,1198.5530220660194,Win,10.098848275302217,198.55302206601937
2021-02-17,1185.3578353194723,Lose,13.19518674654704,185.35783531947231
2021-02-19,1176.806315786392,Lose,8.551519533080375,176.8063157863919
2021-02-20,1151.939893624,Lose,24.866422162391874,151.93989362399998
2021-02-20,1139.0768762237924,Lose,12.863017400207562,139.0768762237924
2021-02-21,1161.7529830913506,Win,25.19567429728697,161.75298309135064
2021-02-21,1137.0845628400534,Lose,24.668420251297324,137.08456284005342
2021-02-21,1151.887429573456,Win,20.55953712972575,151.88742957345607
2021-02-21,1166.0429050612147,Win,24.834167522383737,166.0429050612147
2021-02-27,1189.2779016691952,Win,43.839616241472825,189.27790166919522
2021-02-28,1205.1140514715926,Win,17.40236242021683,205.11405147159257
2021-02-28,1186.973422147885,Lose,18.140629323707625,186.973422147885
2021-02-28,1213.1807567782075,Win,25.693465323845714,213.18075677820752
2021-03-02,1251.8195456761896,Win,53.66498458053079,251.8195456761896
2021-03-03,1217.555358384237,Lose,34.264187291952474,217.55535838423702
2021-03-04,1184.6313435701381,Lose,32.92401481409886,184.63134357013814
2021-03-06,1229.5695266794248,Win,37.448485924405574,229.56952667942483
2021-03-06,1219.5339958549162,Lose,10.03553082450858,219.53399585491616
2021-03-07,1168.2109163844125,Lose,51.323079470503785,168.21091638441249
2021-03-07,1188.992035360308,Win,23.09013219543943,188.9920353603079
2021-03-08,1180.7625895222066,Lose,8.229445838101269,180.76258952220655
2021-03-08,1140.9216059453827,Lose,39.84098357682398,140.92160594538268
2021-03-10,1155.1168789800029,Win,26.783534027585183,155.11687898000287
2021-03-12,1139.9149316936407,Lose,15.201947286362222,139.9149316936407
2021-03-13,1155.58666917754,Win,19.58967185487407,155.58666917754
2021-03-13,1126.810746014637,Lose,28.775923162903013,126.81074601463706
2021-03-14,1156.9482843973271,Win,23.182721832838574,156.94828439732714
2021-03-14,1148.8939768297728,Lose,8.054307567554426,148.89397682977278
2021-03-14,1173.1376364532841,Win,26.93739958167923,173.13763645328413
2021-03-14,1213.1210493877356,Win,44.4260143716127,213.12104938773564
2021-03-15,1205.5878484045302,Lose,7.5332009832054485,205.58784840453018
2021-03-19,1247.7254353802439,Win,42.13758697571373,247.72543538024388
2021-03-20,1264.4059495393255,Win,12.8311647377552,264.40594953932555
2021-03-21,1245.1050346044835,Lose,19.300914934841927,245.10503460448354
2021-03-21,1290.2026572201723,Win,50.10846957298749,290.20265722017234
2021-04-03,1320.816912379625,Win,42.5197988325731,320.8169123796249
2021-04-03,1367.6679460386044,Win,65.07088008191609,367.66794603860444
2021-04-03,1313.3189242569504,Lose,54.349021781654145,313.31892425695037
2021-04-04,1355.0151958887752,Win,46.32919070202758,355.0151958887752
2021-04-04,1391.9164464371572,Win,41.001389498202315,391.9164464371572
2021-04-04,1410.8915063389934,Win,15.812549918196817,410.8915063389934
2021-04-05,1438.4755589134636,Win,18.389368382980102,438.4755589134636
2021-04-10,1471.5909154194546,Win,30.10486955090086,471.59091541945463
2021-04-10,1494.9738795692017,Win,53.14310034033414,494.9738795692017
2021-04-11,1535.1948451229382,Win,26.813977035824294,535.1948451229382
2021-04-11,1589.9940195170934,Win,54.79917439415521,589.9940195170934
2021-04-11,1642.9859977268752,Win,58.87997578864639,642.9859977268752
2021-04-11,1701.1359655106246,Win,64.61107531527705,701.1359655106246
2021-04-12,1650.4125900942483,Lose,50.723375416376285,650.4125900942483
2021-04-17,1704.3531641462457,Win,59.93397116888602,704.3531641462457
2021-04-18,1727.925449636865,Win,32.739285403637936,727.9254496368651
2021-04-18,1697.0051639459014,Lose,30.920285690963734,697.0051639459014
2021-04-19,1623.25514905343,Lose,73.7500148924715,623.2551490534299
2021-04-20,1575.914548805025,Lose,47.340600248404904,575.9145488050251
2021-04-21,1624.6360082979736,Win,67.66869374020624,624.6360082979736
2021-04-21,1640.6152072338912,Win,24.21090747866282,640.6152072338912
2021-04-22,1659.4011699981736,Win,20.8732919603139,659.4011699981736
2021-04-23,1640.7405250690108,Lose,18.66064492916278,640.7405250690108
2021-04-24,1583.3877767986125,Lose,57.352748270398166,583.3877767986125
2021-04-25,1607.6791642301246,Win,26.990430479457746,607.6791642301246
2021-04-25,1544.9692327670025,Lose,62.709931463121976,544.9692327670025
2021-04-26,1573.7487734812073,Win,28.779540714204888,573.7487734812073
2021-05-01,1563.7947254957062,Lose,9.954047985501104,563.7947254957062
2021-05-02,1603.846526595104,Win,55.62750152694132,603.846526595104
2021-05-03,1550.6042791682682,Lose,53.24224742683583,550.6042791682682
2021-05-07,1576.8626863571449,Win,36.47000998455075,576.8626863571449
2021-05-08,1613.8700238001038,Win,30.839447869132478,613.8700238001038
2021-05-08,1651.529302456336,Win,57.05951311550336,651.5293024563359
2021-05-09,1663.7842772968274,Win,17.020798389571567,663.7842772968274
2021-05-09,1726.8085328302468,Win,48.48019656416878,726.8085328302468
2021-05-09,1756.020070712803,Win,40.57158039243922,756.0200707128031
2021-05-11,1811.2513855771085,Win,61.36812762700606,811.2513855771085
2021-05-12,1759.413840497351,Lose,51.837545079757504,759.413840497351
2021-05-13,1806.5329203268248,Win,65.44316642982467,806.5329203268248
2021-05-14,1833.2430136606072,Win,50.396402516570646,833.2430136606072
2021-05-15,1810.3937939988916,Lose,22.849219661715615,810.3937939988916
2021-05-16,1798.354662382588,Lose,12.039131616303656,798.354662382588
2021-05-16,1826.2548433227882,Win,31.00020104466691,826.2548433227882
2021-05-18,1856.1291202913299,Win,27.158433607765033,856.1291202913299
2021-05-18,1891.6397082980973,Win,49.320261120510416,891.6397082980973
2021-05-19,1905.8964182158356,Win,25.01177178550595,905.8964182158356
2021-05-19,1930.7755223241004,Win,46.94170586465063,930.7755223241004
2021-05-19,1880.2131452083445,Lose,50.562377115755865,880.2131452083445
2021-05-19,1893.509341001157,Win,18.466938601128643,893.509341001157
2021-05-23,1901.9081142994296,Win,13.768480816840317,901.9081142994296
2021-05-23,1946.61988243464,Win,78.4416984828252,946.61988243464
2021-05-23,1975.6703818890398,Win,72.6262486359999,975.6703818890398
2021-08-13,1963.553059940599,Lose,12.117321948440726,963.553059940599
2021-08-14,1977.5092452931044,Win,17.44523169063168,977.5092452931044
2021-08-14,1999.4664411128776,Win,41.42867135806275,999.4664411128776
2021-08-14,2043.505870652131,Win,72.19578612992369,1043.505870652131
2021-08-14,2081.493140578201,Win,37.98726992606997,1081.4931405782008
2021-08-15,2024.0042288967934,Lose,57.48891168140736,1024.0042288967934
2021-08-15,2098.7052841803893,Win,75.45561139757181,1098.7052841803893
2021-08-21,2119.8169354213574,Win,63.97470073020557,1119.8169354213574
2021-08-21,2094.694887009996,Lose,25.12204841136146,1094.694887009996
2021-08-21,2110.78094891874,Win,22.341752651033158,1110.7809489187398
2021-08-22,2055.624336004341,Lose,55.15661291439903,1055.6243360043409
2021-08-22,1999.3479069293026,Lose,56.2764290750383,999.3479069293026
2021-08-23,2044.7258392011204,Win,56.72241533977241,1044.7258392011204
2021-08-28,2117.490121955455,Win,80.84920306037188,1117.490121955455
2021-08-28,2082.180906557193,Lose,35.309215398262005,1082.1809065571929
2021-08-28,2097.330917729828,Win,26.578966969534907,1097.330917729828
2021-08-28,2126.057529221814,Win,33.79601351998373,1126.057529221814
2021-08-28,2046.6659801043252,Lose,79.39154911748898,1046.6659801043252
2021-08-28,1987.3138960563585,Lose,59.352084047966656,987.3138960563585
2021-09-11,1976.025187186032,Lose,11.288708870326545,976.0251871860321
2021-09-11,1992.6852626673992,Win,15.145523164879274,992.6852626673992
2021-09-11,2016.6811751198297,Win,29.994890565538213,1016.6811751198297
2021-09-11,1988.3295076457298,Lose,28.351667474099862,988.3295076457298
2021-09-11,1917.6423444364787,Lose,70.68716320925112,917.6423444364787
2021-09-12,1964.2273304885166,Win,81.72804570532992,964.2273304885166
2021-09-13,1992.6614945413949,Win,28.434164052878188,992.6614945413949
2021-09-18,1967.1713504658355,Lose,25.490144075559222,967.1713504658355
2021-09-18,1979.0493195605254,Win,23.755938189379812,979.0493195605254
2021-09-18,1970.5253812469923,Lose,8.523938313533007,970.5253812469923
2021-09-19,2050.215596834615,Win,72.44565053420244,1050.215596834615
2021-09-19,2096.19649037319,Win,45.98089353857499,1096.19649037319
2021-09-25,2117.0349397448504,Win,28.94229079397236,1117.0349397448504
2021-09-25,2061.1014292060677,Lose,55.933510538782855,1061.1014292060677
2021-09-25,2088.27350305292,Win,47.6703049944781,1088.2735030529202
2021-09-25,2130.0050881620928,Win,46.36842789908064,1130.0050881620928
2021-09-25,2111.7835665999132,Lose,18.22152156217956,1111.7835665999132
2021-09-25,2097.4462348128086,Lose,14.33733178710464,1097.4462348128086
2021-09-26,2079.6544397412295,Lose,17.79179507157911,1079.6544397412295
2021-09-26,2130.957315793013,Win,51.30287605178375,1130.957315793013
2021-09-27,2114.727476878033,Lose,16.229838914980256,1114.727476878033
2021-10-02,2171.4259201887817,Win,70.87305413843573,1171.4259201887817
2021-10-02,2143.0411965845346,Lose,28.384723604247036,1143.0411965845346
2021-10-02,2120.468832607071,Lose,22.572363977463663,1120.468832607071
2021-10-03,2172.7700266782967,Win,58.11243785691785,1172.7700266782967
2021-10-03,2211.1489487371578,Win,42.64324673206769,1211.1489487371578
2021-10-03,2265.2846596936115,Win,75.18848743951916,1265.2846596936115
2021-10-03,2294.653998001609,Win,29.36933830799762,1294.6539980016091
2021-10-16,2306.374867032599,Win,20.56292812454338,1306.374867032599
2021-10-16,2271.7146219036213,Lose,34.6602451289776,1271.7146219036213
2021-10-16,2315.714333547793,Win,39.9997378583382,1315.714333547793
2021-10-17,2375.5344501424943,Win,74.77514574337674,1375.5344501424943
2021-10-18,2443.1420137452133,Win,69.69851917806082,1443.1420137452133
2021-10-22,2460.011904175665,Win,23.430403375627435,1460.0119041756652
2021-10-23,2537.9560864736077,Win,118.09724590597355,1537.9560864736077
2021-10-23,2554.0981046824613,Win,17.935575787614965,1554.0981046824613
2021-10-23,2653.208079649602,Win,99.10997496714083,1653.208079649602
2021-10-23,2718.0288392730195,Win,81.02594952927198,1718.0288392730195
2021-10-23,2674.8851688407085,Lose,43.14367043231096,1674.8851688407085
