HomeTeam,AwayTeam,BetOn,Probability,ImpliedProbability,Odds,ExpectedReturn,BetSize
Wolverhampton Wanderers,Liverpool,A,0.8074544473053326,0.7518796992481203,1.33,0.07391441491609241,11.67
Arsenal,Southampton,H,0.8744228945979,0.8547008547008548,1.17,0.02307478667954288,10.59
